"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-02","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6103830","","","","0"
"2021-03","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6604135","","","","0"
"2021-04","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6914849","","","","0"
"2021-05","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7556304","","","","0"
"2021-06","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7907235","","","","0"
"2021-07","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","8216039","","","","0"
"2021-08","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","8070667","","","","0"
"2021-09","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7628494","","","","0"
"2021-10","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6988918","","","","0"
"2021-11","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6436475","","","","0"
"2021-12","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7312113","","","","0"
"2022-01","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","8095449","","","","0"
"2022-02","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7007227","","","","0"
"2022-03","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7049681","","","","0"
"2022-04","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6681505","","","","0"
"2022-05","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","5879264","","","","0"
"2022-06","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6859574","","","","0"
"2022-07","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7442104","","","","0"
"2022-08","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","8013088","","","","0"
"2022-09","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7127004","","","","0"
"2022-10","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","5491173","","","","0"
"2022-11","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6154379","","","","0"
"2022-12","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6500567","","","","0"
"2023-01","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7487846","","","","0"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2020-10","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2020-11","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2020-12","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-01","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-02","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-03","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-04","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-05","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-06","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-07","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-08","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
